category,text
table_2,Statistic | Name | Team | # | Top 25
table_2,Complete Games | Jose Berrios | Minnesota Twins | 2 | Top 25
table_2,Carlos Carrasco | Cleveland Indians | 2
table_2,Corey Kluber | Cleveland Indians | 2
table_2,James Paxton | Seattle Mariners | 2
table_2,ERA | Blake Snell | Tampa Bay Rays | 1.89 | Top 25
table_2,Games | Ryan Pressly | Minnesota Twins | 77 | Top 25
table_2,Saves | Edwin Diaz | Seattle Mariners | 57 | Top 25
table_2,Shutouts | Jose Berrios | Minnesota Twins | 1 | Top 25
table_2,Mike Clevinger | Cleveland Indians | 1
table_2,Gerrit Cole | Houston Astros | 1
table_2,Andrew Heaney | Los Angeles Angels | 1
table_2,Corey Kluber | Cleveland Indians | 1
table_2,Sean Manaea | Oakland Athletics | 1
table_2,Daniel Mengden | Oakland Athletics | 1
table_2,James Paxton | Seattle Mariners | 1
table_2,Luis Severino | New York Yankees | 1
table_2,Masahiro Tanaka | New York Yankees | 1
table_2,Justin Verlander | Houston Astros | 1
table_2,Strikeouts | Justin Verlander | Houston Astros | 290 | Top 25
table_2,Winning Percentage | Charlie Morton | Houston Astros | .833 | Top 25
table_2,Wins | Blake Snell | Tampa Bay Rays | 21 | Top 25
table_2,Statistic | Name | Team | # | Top 25
